country,symptom,date,pct_yes
Denmark,Fever,2020-03-21,0.03665987780040733
Denmark,Fever,2020-03-22,0.05058365758754864
Denmark,Fever,2020-03-23,0.04242424242424243
Denmark,Fever,2020-03-24,0.03627760252365931
Denmark,Sore throat,2020-03-21,0.14663951120162932
Denmark,Sore throat,2020-03-22,0.17120622568093385
Denmark,Sore throat,2020-03-23,0.15606060606060607
Denmark,Sore throat,2020-03-24,0.12145110410094637
Denmark,Cough,2020-03-21,0.23217922606924643
Denmark,Cough,2020-03-22,0.24124513618677043
Denmark,Cough,2020-03-23,0.24696969696969698
Denmark,Cough,2020-03-24,0.18769716088328076
Denmark,Sore muscles,2020-03-21,0.12016293279022404
Denmark,Sore muscles,2020-03-22,0.13359273670557717
Denmark,Sore muscles,2020-03-23,0.13484848484848486
Denmark,Sore muscles,2020-03-24,0.11829652996845426
Denmark,Breathlessness,2020-03-21,0.03665987780040733
Denmark,Breathlessness,2020-03-22,0.04928664072632944
Denmark,Breathlessness,2020-03-23,0.05
Denmark,Breathlessness,2020-03-24,0.04258675078864353
Denmark,Headache,2020-03-21,0.26272912423625255
Denmark,Headache,2020-03-22,0.2607003891050584
Denmark,Headache,2020-03-23,0.26666666666666666
Denmark,Headache,2020-03-24,0.26025236593059936
France,Fever,2020-03-24,0.034482758620689655
France,Sore throat,2020-03-24,0.13409961685823754
France,Cough,2020-03-24,0.2260536398467433
France,Sore muscles,2020-03-24,0.15708812260536398
France,Breathlessness,2020-03-24,0.05363984674329502
France,Headache,2020-03-24,0.2413793103448276
Germany,Fever,2020-03-24,0.043478260869565216
Germany,Sore throat,2020-03-24,0.1067193675889328
Germany,Cough,2020-03-24,0.17786561264822134
Germany,Sore muscles,2020-03-24,0.11462450592885376
Germany,Breathlessness,2020-03-24,0.09881422924901186
Germany,Headache,2020-03-24,0.2134387351778656
Hungary,Fever,2020-03-24,0.01556420233463035
Hungary,Sore throat,2020-03-24,0.11284046692607004
Hungary,Cough,2020-03-24,0.16342412451361868
Hungary,Sore muscles,2020-03-24,0.07003891050583658
Hungary,Breathlessness,2020-03-24,0.027237354085603113
Hungary,Headache,2020-03-24,0.21011673151750973
Italy,Fever,2020-03-21,0.025925925925925925
Italy,Fever,2020-03-22,0.03543307086614173
Italy,Fever,2020-03-23,0.026717557251908396
Italy,Fever,2020-03-24,0.01171875
