country,symptom,date,pct_yes
Denmark,Fear,2020-03-21,0.845213849287169
Denmark,Fear,2020-03-22,0.8508430609597925
Denmark,Fear,2020-03-23,0.8393939393939394
Denmark,Fear,2020-03-24,0.8596214511041009
Denmark,Optimism,2020-03-21,0.8004073319755601
Denmark,Optimism,2020-03-22,0.7937743190661478
Denmark,Optimism,2020-03-23,0.8242424242424242
Denmark,Optimism,2020-03-24,0.8454258675078864
France,Fear,2020-03-24,0.9080459770114943
France,Optimism,2020-03-24,0.7624521072796935
Germany,Fear,2020-03-24,0.6600790513833992
Germany,Optimism,2020-03-24,0.6482213438735178
Hungary,Fear,2020-03-24,0.7821011673151751
Hungary,Optimism,2020-03-24,0.5603112840466926
Italy,Fear,2020-03-21,0.9666666666666667
Italy,Fear,2020-03-22,0.9409448818897638
Italy,Fear,2020-03-23,0.9389312977099237
Italy,Fear,2020-03-24,0.95703125
Italy,Optimism,2020-03-21,0.5518518518518518
Italy,Optimism,2020-03-22,0.6259842519685039
Italy,Optimism,2020-03-23,0.6946564885496184
Italy,Optimism,2020-03-24,0.6875
Sweden,Fear,2020-03-21,0.8470588235294118
Sweden,Fear,2020-03-22,0.8503937007874016
Sweden,Fear,2020-03-23,0.8390804597701149
Sweden,Fear,2020-03-24,0.8811475409836066
Sweden,Optimism,2020-03-21,0.6941176470588235
Sweden,Optimism,2020-03-22,0.7007874015748031
Sweden,Optimism,2020-03-23,0.6590038314176245
Sweden,Optimism,2020-03-24,0.7704918032786885
United Kingdom,Fear,2020-03-21,0.856
United Kingdom,Fear,2020-03-22,0.9209486166007905
United Kingdom,Fear,2020-03-23,0.9094488188976378
United Kingdom,Fear,2020-03-24,0.856
United Kingdom,Optimism,2020-03-21,0.636
United Kingdom,Optimism,2020-03-22,0.6521739130434783
United Kingdom,Optimism,2020-03-23,0.6220472440944882
United Kingdom,Optimism,2020-03-24,0.716
USA,Fear,2020-03-21,0.8294573643410853
USA,Fear,2020-03-22,0.8653846153846154
USA,Fear,2020-03-23,0.8346456692913385
USA,Fear,2020-03-24,0.8548387096774194
USA,Optimism,2020-03-21,0.7286821705426356
USA,Optimism,2020-03-22,0.7384615384615385
USA,Optimism,2020-03-23,0.6535433070866141
USA,Optimism,2020-03-24,0.7137096774193549
